American Samoa ,57794,199,8000,97
Saint Kitts & Nevis ,39129,261,8800,97
N. Mariana Islands ,82459,477,12500,97
Aruba ,71891,193,28000,97
Canada ,33098932,9984670,29800,97
United States ,298444215,9631420,37800,97
Argentina ,39921833,2766890,11200,97.1
Maldives ,359008,300,3900,97.2
Barbados ,279912,431,15700,97.4
Greece ,10688058,131940,20000,97.5
Cyprus ,784301,9250,19200,97.6
Martinique ,436131,1100,14400,97.7
Mongolia ,2832224,1564116,1800,97.8
British Virgin Is. ,23098,153,16000,97.8
South Korea,48846823,98480,17800,97.9
Spain ,40397842,504782,22000,97.9
Grenada ,89703,344,5000,98
Turkmenistan ,5042920,488100,5800,98
Turks & Caicos Is ,21152,430,9600,98
Uruguay ,3431932,176220,12800,98
French Polynesia ,274578,4167,17500,98
Belgium ,10379067,30528,29100,98
Ireland ,4062235,70280,29600,98
Austria ,8192880,83870,30000,98
Cayman Islands ,45436,262,35000,98
Bermuda ,65773,53,36000,98
Kazakhstan ,15233244,2717300,6300,98.4
Romania ,22303552,237500,7000,98.4
Tonga ,114689,748,2200,98.5
Croatia ,4494749,56542,10600,98.5
Armenia ,2976372,29800,3500,98.6
Bulgaria ,7385367,110910,7600,98.6
Trinidad & Tobago ,1065842,5128,9500,98.6
Italy ,58133509,301230,26700,98.6
Guyana ,767245,214970,4000,98.8
North Korea,23113019,120540,1300,99
Georgia ,4661473,69700,2500,99
St Pierre & Miquelon ,7026,242,6900,99
Guam ,171019,541,21000,99
New Zealand ,4076140,268680,21600,99
Sweden ,9016596,449964,26800,99
Monaco ,32543,2,27000,99
Germany ,82422299,357021,27600,99
France ,60876136,547030,27600,99
United Kingdom ,60609153,244820,27700,99
Japan ,127463611,377835,28200,99
Netherlands ,16491461,41526,28600,99
Switzerland ,7523934,41290,32700,99
Moldova ,4466706,33843,1800,99.1
Uzbekistan ,27307134,447400,1700,99.3
Tajikistan ,7320815,143100,1000,99.4
Hungary ,9981334,93030,13900,99.4
Belarus ,10293011,207600,6100,99.6
Russia ,142893540,17075200,8900,99.6
Lithuania ,3585906,65200,11400,99.6
Ukraine ,46710816,603700,5400,99.7
Samoa ,176908,2944,5600,99.7
Slovenia ,2010347,20273,19000,99.7
Latvia ,2274735,64589,10200,99.8
Poland ,38536869,312685,11100,99.8
Estonia ,1324333,45226,12300,99.8
Czech Republic ,10235455,78866,15700,100
Iceland ,299388,103000,30900,100
Andorra ,71201,468,19000,100
Liechtenstein ,33987,160,25000,100
Finland ,5231372,338145,27400,100
Australia ,20264082,7686850,29000,100
Denmark ,5450661,43094,31100,100
Norway ,4610820,323802,37800,100
Luxembourg ,474413,2586,55100,100
Western Sahara ,273008,266000,0,0
Gaza Strip ,1428757,360,600,0
Kiribati ,105432,811,800,0
West Bank ,2460492,5860,800,0
Tuvalu ,11810,26,1100,0
Solomon Islands ,552438,28450,1700,0
Mayotte ,201234,374,2600,0
Nauru ,13287,21,5000,0
Bosnia & Herzegovina ,4498976,51129,6100,0
Macedonia ,2050554,25333,6700,0
Slovakia ,5439448,48845,13300,0
Virgin Islands ,108605,1910,17200,0
Gibraltar ,27928,7,17500,0
Guernsey ,65409,78,20000,0
Greenland ,56361,2166086,20000,0
Isle of Man ,75441,572,21000,0
Faroe Islands ,47246,1399,22000,0
Jersey ,91084,116,24800,0
